"wktLabel","farm","sta","dst"
"Barnfield","http://linkedgeodata.org/triplify/way260652063","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5814","0.918632e0"
"Yew Tree Farm","http://linkedgeodata.org/triplify/way1005953284","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_414","2.27095e0"
"Oakfield","http://linkedgeodata.org/triplify/way1008895739","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1914","3.158909e0"
"Burtown Farm","http://linkedgeodata.org/triplify/way331440718","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_7114","2.537795e0"
"Deer Forest Stud","http://linkedgeodata.org/triplify/way302285201","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_8923","3.828664e0"
"Drimbawn Mushrooms","http://linkedgeodata.org/triplify/way271285782","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2514","1.486153e0"
"John Sally and Sons","http://linkedgeodata.org/triplify/way714552447","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5631","4.7052e0"
"Dillon's Farm","http://linkedgeodata.org/triplify/way331033170","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1631","3.6958e0"
"Collistown Stud & Equestrian Centre","http://linkedgeodata.org/triplify/way399639599","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_9123","2.37694e0"
"College Farm","http://linkedgeodata.org/triplify/way47913083","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_8323","0.716263e0"
"Old farm buildings","http://linkedgeodata.org/triplify/way42135087","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_8323","0.559585e0"
"Pet Farm","http://linkedgeodata.org/triplify/way416242038","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3723","1.590993e0"
"Park Maintenance Depot","http://linkedgeodata.org/triplify/way821216272","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_7423","0.941306e0"
"National Crop Variety Testing Centre - Backweston","http://linkedgeodata.org/triplify/way98613079","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_4223","1.755956e0"
"St. Anne's City Farm","http://linkedgeodata.org/triplify/way587484866","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_7123","0.812524e0"
"Blackberry Farm","http://linkedgeodata.org/triplify/way777276544","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1724","2.052146e0"
"Knocklynn Farm","http://linkedgeodata.org/triplify/way60889926","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2424","0.255133e0"
"Beech Hill","http://linkedgeodata.org/triplify/way168825822","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2224","1.931844e0"
"Scalp Farm","http://linkedgeodata.org/triplify/way61637019","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2924","1.200284e0"
"Hillcrest Farm","http://linkedgeodata.org/triplify/way60957766","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2924","1.245609e0"
"Verney Farm","http://linkedgeodata.org/triplify/way61651598","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2124","1.900827e0"
"Hollybrook Farm","http://linkedgeodata.org/triplify/way119738271","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3524","1.523578e0"
"Newtown Farm","http://linkedgeodata.org/triplify/way103426601","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3524","0.531908e0"
"Mulvey's Farm","http://linkedgeodata.org/triplify/way326219213","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1624","0.645463e0"
"Kilmullen Farm","http://linkedgeodata.org/triplify/way583741603","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_4124","0.897297e0"
"Bullford Farm","http://linkedgeodata.org/triplify/way810409574","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2624","0.41113e0"
"La Rocque","http://linkedgeodata.org/triplify/way863251447","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2624","0.215407e0"
"Ballynerrin Farm","http://linkedgeodata.org/triplify/way691392028","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3724","1.173983e0"
"Ballykeane Stud","http://linkedgeodata.org/triplify/way306262461","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1324","2.181742e0"
"The Lodge, Farmleigh, Enniscorthy, Co. Wexford","http://linkedgeodata.org/triplify/way364174470","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_6215","4.550191e0"
"Eastwood","http://linkedgeodata.org/triplify/way77489081","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_6214","1.93838e0"
"Quarry Farm","http://linkedgeodata.org/triplify/way1007685689","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5014","1.018319e0"
"Cooper's Buildings","http://linkedgeodata.org/triplify/way971106651","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5113","0.353132e0"
"Rathbeagh Farmhouse","http://linkedgeodata.org/triplify/way756363748","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2013","4.123477e0"
"Colt Stud Farm","http://linkedgeodata.org/triplify/way973110008","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_4614","4.014649e0"
"Ralph's Grove","http://linkedgeodata.org/triplify/way973111851","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_4614","3.849563e0"
"Rush Hall Farm","http://linkedgeodata.org/triplify/way928644139","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1413","6.053985e0"
"Fortfield","http://linkedgeodata.org/triplify/way1062854616","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2912","4.087547e0"
"Hennessy Calf Farm","http://linkedgeodata.org/triplify/way751074040","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1913","0.145841e0"
"Erryville","http://linkedgeodata.org/triplify/way1050984609","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3012","2.173633e0"
"Hughes Farming","http://linkedgeodata.org/triplify/way1093389143","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2413","3.595908e0"
"Cuffesgrange","http://linkedgeodata.org/triplify/way697290466","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_413","2.479348e0"
"Keoghan's Farm","http://linkedgeodata.org/triplify/way510885403","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_413","5.672001e0"
"White House","http://linkedgeodata.org/triplify/way1076195611","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_4613","4.124704e0"
"New Orchard Farm","http://linkedgeodata.org/triplify/way744092470","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5613","2.092826e0"
"Cantwell's Farm","http://linkedgeodata.org/triplify/way760980986","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5413","1.174406e0"
"Kilkieran Equestrian Farm","http://linkedgeodata.org/triplify/way817561806","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5413","2.230711e0"
"Tullow Lodge","http://linkedgeodata.org/triplify/way905078907","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5013","1.37574e0"
"Tullow Cottage","http://linkedgeodata.org/triplify/way905078916","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5013","0.800054e0"
"Farmyard","http://linkedgeodata.org/triplify/way247180162","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2213","0.841865e0"
"Site of Tullow House","http://linkedgeodata.org/triplify/way905078915","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5013","1.067378e0"
"farmyard","http://linkedgeodata.org/triplify/way247182204","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2613","3.468214e0"
"Parkside Agricultural Farm","http://linkedgeodata.org/triplify/way1021196480","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_112","2.442147e0"
"Corluddy Castle Farm House","http://linkedgeodata.org/triplify/way1079855027","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2312","4.146946e0"
"Bellina Farm","http://linkedgeodata.org/triplify/way169142410","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1185","2.002053e0"
"Emil Stud Farm","http://linkedgeodata.org/triplify/way1076389659","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5212","1.907401e0"
"Sallyfort Mini Farm","http://linkedgeodata.org/triplify/way1097376586","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1807","2.455581e0"
"Jack Meades Petting Farm","http://linkedgeodata.org/triplify/way59468729","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_9712","0.918238e0"
"Morrisey","http://linkedgeodata.org/triplify/way352628642","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_285","4.223982e0"
"Ballyrue Equestrian","http://linkedgeodata.org/triplify/way579897482","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3214","1.184285e0"
"Paul's yard","http://linkedgeodata.org/triplify/way706714776","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_215","0.846693e0"
"Reenard Pig Farm","http://linkedgeodata.org/triplify/way1082732604","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_215","0.924408e0"
"Ballyshannon Farm","http://linkedgeodata.org/triplify/way582311911","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_608","1.11725e0"
"Wexford Cattle Company","http://linkedgeodata.org/triplify/way627006125","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1415","0.851286e0"
"Ruins Of A 1800's Farmyard","http://linkedgeodata.org/triplify/way483694473","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_6704","3.390886e0"
"Myrtle Hill Farm","http://linkedgeodata.org/triplify/way509715485","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_804","2.762445e0"
"Carberytown Farm","http://linkedgeodata.org/triplify/way735429848","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_6504","1.45176e0"
"Killeens Cross","http://linkedgeodata.org/triplify/way489944642","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_7404","3.201957e0"
"Shinagh Dairy Farm","http://linkedgeodata.org/triplify/way818105256","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5802","1.594033e0"
"Highfort Stud","http://linkedgeodata.org/triplify/way853453305","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3802","0.368231e0"
"Goggins Hill Stud","http://linkedgeodata.org/triplify/way686636051","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_104","2.497263e0"
"Firgrove Stud","http://linkedgeodata.org/triplify/way702401419","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_104","4.543822e0"
